task_name,component_id,task_schedulable,avg_response_time,max_response_time,sup_util,component_schedulable
Task_0,Camera_Sensor,1,0.000,0.000,0.556,1
Task_1,Camera_Sensor,1,0.000,0.000,0.556,1
Task_2,Camera_Sensor,1,0.000,0.000,0.556,1
Task_3,Camera_Sensor,1,0.000,0.000,0.556,1
Task_4,Camera_Sensor,1,0.000,0.000,0.556,1
Task_5,Image_Processor,1,5.685,5.685,0.333,1
Task_6,Image_Processor,1,0.000,0.000,0.333,1
Task_7,Image_Processor,1,0.000,0.000,0.333,1
Task_8,Lidar_Sensor,1,3.226,3.613,0.333,1
Task_9,Lidar_Sensor,1,0.000,0.000,0.333,1
Task_10,Lidar_Sensor,1,24.226,24.226,0.333,1
Task_11,Lidar_Sensor,1,0.000,0.000,0.333,1
Task_12,Control_Unit,1,0.000,0.000,0.667,1
Task_13,Control_Unit,1,20.452,28.452,0.667,1
Task_14,Control_Unit,1,0.000,0.000,0.667,1
Task_15,Control_Unit,1,36.452,36.452,0.667,1
Task_16,Control_Unit,1,0.000,0.000,0.667,1
Task_17,Control_Unit,1,117.903,117.903,0.667,1
